row_bin_idx col_bin_idx row_bin_left_edge row_bin_right_edge col_bin_left_edge col_bin_right_edge A1 B1 C1 D1 E1 F1 G1 H1 I1 J1 K1 L1 M1 N1 O1 P1 A2 B2 C2 D2 E2 F2 G2 H2 I2 J2 K2 L2 M2 N2 O2 P2 A3 B3 C3 D3 E3 F3 G3 H3 I3 J3 K3 L3 M3 N3 O3 P3 A4 B4 C4 D4 E4 F4 G4 H4 I4 J4 K4 L4 M4 N4 O4 P4
-1 9 -0.6 -0.5 0.4 0.5 0.000318 0.000623 0.000986 0.001175 0.001073 0.000683 0.000524 0.000468 0.000564 0.001401 0.003734 0.010031 0.013119 0.005019 0.001875 0.000993 0.001028 0.002621 0.012816 0.076853 0.121204 0.060732 0.008162 0.002080 0.000771 0.003142 0.027697 0.124752 0.103768 0.117918 0.014733 0.002164 0.000466 0.001440 0.009640 0.038205 0.086743 0.072198 0.008569 0.001194 0.000289 0.000581 0.001581 0.005770 0.024856 0.010780 0.002188 0.000670 0.000196 0.000280 0.000542 0.001551 0.003242 0.002123 0.001009 0.000548 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
-1 10 -0.6 -0.5 0.5 0.6 0.000000 0.000604 0.000947 0.001160 0.001101 0.000709 0.000539 0.000477 0.000000 0.001322 0.003461 0.009466 0.013700 0.005443 0.001962 0.001059 0.000000 0.002376 0.011063 0.070249 0.122479 0.067742 0.009113 0.002329 0.000000 0.002746 0.021164 0.124304 0.100846 0.124739 0.018485 0.002446 0.000000 0.001285 0.008063 0.035749 0.083075 0.076782 0.010629 0.001340 0.000000 0.000562 0.001437 0.005106 0.023569 0.012521 0.002459 0.000691 0.000000 0.000295 0.000501 0.001406 0.003187 0.002226 0.001060 0.000563 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0 -1 -0.5 -0.4 -0.6 -0.5 0.000582 0.000912 0.001042 0.000960 0.000604 0.000485 0.000454 0.000000 0.001336 0.003348 0.008128 0.009767 0.004067 0.001652 0.000928 0.000000 0.002576 0.011877 0.071132 0.113676 0.052457 0.007341 0.001971 0.000000 0.003236 0.028456 0.125925 0.108356 0.115211 0.014288 0.002184 0.000000 0.001546 0.011195 0.044865 0.087155 0.079231 0.008963 0.001242 0.000000 0.000615 0.001789 0.006697 0.031277 0.012022 0.002331 0.000665 0.000000 0.000288 0.000593 0.001676 0.003685 0.002345 0.001080 0.000559 0.000000 0.000184 0.000353 0.000575 0.000840 0.000818 0.000369 0.000320 0.000000
0 0 -0.5 -0.4 -0.5 -0.4 0.000577 0.000887 0.001029 0.000971 0.000658 0.000505 0.000460 0.000244 0.001243 0.003112 0.007684 0.010162 0.004423 0.001709 0.000978 0.000423 0.002323 0.010259 0.064026 0.115220 0.058950 0.008208 0.002208 0.000664 0.002822 0.021635 0.125275 0.105470 0.123079 0.017892 0.002476 0.000715 0.001371 0.009160 0.042036 0.083287 0.084806 0.011399 0.001400 0.000504 0.000589 0.001607 0.005869 0.029546 0.014334 0.002639 0.000706 0.000323 0.000300 0.000525 0.001505 0.003664 0.002476 0.001144 0.000552 0.000283 0.000192 0.000330 0.000544 0.000808 0.000855 0.000397 0.000309 0.000253
0 1 -0.5 -0.4 -0.4 -0.3 0.000539 0.000862 0.001021 0.000986 0.000674 0.000502 0.000464 0.000264 0.001111 0.002823 0.007121 0.010512 0.004872 0.001833 0.001069 0.000452 0.002030 0.008664 0.055651 0.116344 0.066558 0.009533 0.002534 0.000729 0.002393 0.016356 0.121749 0.103538 0.128554 0.023083 0.002953 0.000789 0.001179 0.007320 0.038505 0.078699 0.090576 0.015050 0.001685 0.000526 0.000539 0.001438 0.005083 0.026882 0.017545 0.003111 0.000795 0.000332 0.000290 0.000472 0.001355 0.003567 0.002652 0.001247 0.000604 0.000311 0.000188 0.000297 0.000518 0.000782 0.000888 0.000442 0.000302 0.000257
0 2 -0.5 -0.4 -0.3 -0.2 0.000494 0.000826 0.001019 0.001006 0.000708 0.000530 0.000478 0.000280 0.001000 0.002557 0.006500 0.010724 0.005488 0.002012 0.001174 0.000502 0.001765 0.007241 0.046594 0.115792 0.074761 0.011737 0.002992 0.000817 0.001999 0.012020 0.113434 0.104190 0.131536 0.031086 0.003600 0.000885 0.001007 0.005745 0.034644 0.073194 0.096074 0.020757 0.002060 0.000588 0.000489 0.001252 0.004323 0.023437 0.021488 0.003699 0.000936 0.000374 0.000278 0.000439 0.001199 0.003399 0.002869 0.001357 0.000650 0.000327 0.000176 0.000283 0.000486 0.000762 0.000907 0.000486 0.000310 0.000257
0 3 -0.5 -0.4 -0.2 -0.1 0.000473 0.000794 0.001013 0.001024 0.000750 0.000536 0.000481 0.000296 0.000894 0.002299 0.005950 0.010862 0.006219 0.002237 0.001273 0.000542 0.001575 0.006184 0.038507 0.113988 0.082879 0.014861 0.003476 0.000936 0.001699 0.009345 0.102235 0.107263 0.131555 0.040609 0.004338 0.000985 0.000880 0.004623 0.030801 0.067413 0.099087 0.027606 0.002524 0.000639 0.000446 0.001111 0.003663 0.019985 0.025161 0.004360 0.001042 0.000394 0.000274 0.000411 0.001042 0.003174 0.003092 0.001486 0.000714 0.000351 0.000168 0.000270 0.000448 0.000733 0.000919 0.000515 0.000318 0.000275
0 4 -0.5 -0.4 -0.1 0.0 0.000440 0.000760 0.001002 0.001023 0.000783 0.000553 0.000478 0.000311 0.000805 0.002082 0.005411 0.010676 0.006902 0.002501 0.001344 0.000597 0.001436 0.005275 0.031385 0.109795 0.089840 0.019084 0.004004 0.001055 0.001457 0.007557 0.088672 0.111664 0.129961 0.051951 0.005226 0.001105 0.000781 0.003760 0.027531 0.062025 0.100639 0.035631 0.003069 0.000684 0.000413 0.000997 0.003210 0.016950 0.028314 0.005065 0.001176 0.000418 0.000250 0.000376 0.000916 0.002904 0.003318 0.001625 0.000762 0.000388 0.000156 0.000253 0.000430 0.000724 0.000930 0.000554 0.000322 0.000292
0 5 -0.5 -0.4 0.0 0.1 0.000395 0.000707 0.000982 0.001037 0.000829 0.000564 0.000471 0.000347 0.000740 0.001926 0.004908 0.010303 0.007573 0.002777 0.001414 0.000645 0.001303 0.004561 0.025684 0.103965 0.096221 0.024351 0.004579 0.001186 0.001287 0.006303 0.074918 0.115627 0.127291 0.064462 0.006260 0.001243 0.000709 0.003122 0.024112 0.057155 0.100482 0.044182 0.003720 0.000748 0.000389 0.000916 0.002857 0.014098 0.030848 0.005886 0.001329 0.000458 0.000239 0.000379 0.000829 0.002620 0.003439 0.001745 0.000824 0.000422 0.000152 0.000251 0.000412 0.000682 0.000907 0.000616 0.000334 0.000281
0 6 -0.5 -0.4 0.1 0.2 0.000371 0.000678 0.000968 0.001033 0.000860 0.000580 0.000483 0.000366 0.000683 0.001769 0.004483 0.009896 0.008192 0.003096 0.001475 0.000705 0.001210 0.003972 0.021004 0.096970 0.102083 0.030393 0.005159 0.001326 0.001153 0.005352 0.061647 0.119090 0.123545 0.077635 0.007515 0.001407 0.000640 0.002617 0.020680 0.053354 0.098668 0.053222 0.004502 0.000833 0.000348 0.000826 0.002545 0.011666 0.032144 0.006826 0.001499 0.000500 0.000222 0.000331 0.000755 0.002388 0.003540 0.001872 0.000865 0.000437 0.000155 0.000231 0.000397 0.000651 0.000909 0.000656 0.000330 0.000292
