datestart datestop duration tstart tstop label mag_start mag_stop
2001:149:12:30:00.000 2001:150:09:30:00.000 75600.000 107526664.184 107602264.184 "instrument notify" -2.0 0.0
2001:150:09:30:00.000 2001:150:17:30:00.000 28800.000 107602264.184 107631064.184 "partial mitigation" -2.9 -2.0
2001:150:17:30:00.000 2001:151:07:30:00.000 50400.000 107631064.184 107681464.184 "instrument notify" -2.0 0.0
2001:151:07:30:00.000 2001:151:21:30:00.000 50400.000 107681464.184 107731864.184 "partial mitigation" -2.9 -2.0
2001:151:21:30:00.000 2001:151:23:30:00.000 7200.000 107731864.184 107739064.184 "instrument notify" -2.0 0.0
2001:151:23:30:00.000 2001:152:00:30:00.000 3600.000 107739064.184 107742664.184 "partial mitigation" -2.9 -2.0
2001:152:00:30:00.000 2001:152:01:30:00.000 3600.000 107742664.184 107746264.184 "instrument notify" -2.0 0.0
2001:152:01:30:00.000 2001:152:04:30:00.000 10800.000 107746264.184 107757064.184 "partial mitigation" -2.9 -2.0
2001:152:04:30:00.000 2001:152:06:30:00.000 7200.000 107757064.184 107764264.184 "instrument notify" -2.0 0.0
2001:152:06:30:00.000 2001:188:23:30:00.000 3171600.000 107764264.184 110935864.184 "partial mitigation" -2.9 -2.0
2001:188:23:30:00.000 2001:189:00:30:00.000 3600.000 110935864.184 110939464.184 "instrument notify" -2.0 0.0
2001:189:00:30:00.000 2001:189:03:30:00.000 10800.000 110939464.184 110950264.184 "partial mitigation" -2.9 -2.0
2001:189:03:30:00.000 2001:189:04:30:00.000 3600.000 110950264.184 110953864.184 "instrument notify" -2.0 0.0
2001:189:04:30:00.000 2001:189:20:30:00.000 57600.000 110953864.184 111011464.184 "partial mitigation" -2.9 -2.0
2001:189:20:30:00.000 2001:190:01:30:00.000 18000.000 111011464.184 111029464.184 "instrument notify" -2.0 0.0
2001:190:01:30:00.000 2001:190:02:30:00.000 3600.000 111029464.184 111033064.184 "partial mitigation" -2.9 -2.0
2001:190:02:30:00.000 2001:190:06:30:00.000 14400.000 111033064.184 111047464.184 "instrument notify" -2.0 0.0
2001:190:06:30:00.000 2001:190:19:30:00.000 46800.000 111047464.184 111094264.184 "partial mitigation" -2.9 -2.0
2001:190:19:30:00.000 2001:191:09:30:00.000 50400.000 111094264.184 111144664.184 "instrument notify" -2.0 0.0
2001:191:09:30:00.000 2001:191:19:30:00.000 36000.000 111144664.184 111180664.184 "partial mitigation" -2.9 -2.0
2001:191:19:30:00.000 2001:192:11:30:00.000 57600.000 111180664.184 111238264.184 "instrument notify" -2.0 0.0
2001:192:11:30:00.000 2001:192:17:30:00.000 21600.000 111238264.184 111259864.184 "partial mitigation" -2.9 -2.0
2001:192:17:30:00.000 2001:192:18:30:00.000 3600.000 111259864.184 111263464.184 "instrument notify" -2.0 0.0
2001:192:18:30:00.000 2001:192:19:30:00.000 3600.000 111263464.184 111267064.184 "partial mitigation" -2.9 -2.0
2001:192:19:30:00.000 2001:193:13:30:00.000 64800.000 111267064.184 111331864.184 "instrument notify" -2.0 0.0
2001:193:13:30:00.000 2001:193:15:30:00.000 7200.000 111331864.184 111339064.184 "partial mitigation" -2.9 -2.0
2001:193:15:30:00.000 2001:299:19:30:00.000 9172800.000 111339064.184 120511864.184 "instrument notify" -2.0 0.0
2001:299:19:30:00.000 2001:299:20:30:00.000 3600.000 120511864.184 120515464.184 "no action" 0.0 40.0
2001:299:20:30:00.000 2001:299:22:30:00.000 7200.000 120515464.184 120522664.184 "instrument notify" -2.0 0.0
2001:299:22:30:00.000 2001:299:23:30:00.000 3600.000 120522664.184 120526264.184 "no action" 0.0 40.0
2001:299:23:30:00.000 2001:300:02:30:00.000 10800.000 120526264.184 120537064.184 "instrument notify" -2.0 0.0
2001:300:02:30:00.000 2001:300:03:30:00.000 3600.000 120537064.184 120540664.184 "no action" 0.0 40.0
2001:300:03:30:00.000 2001:300:20:30:00.000 61200.000 120540664.184 120601864.184 "instrument notify" -2.0 0.0
2001:300:20:30:00.000 2001:301:00:30:00.000 14400.000 120601864.184 120616264.184 "no action" 0.0 40.0
2001:301:00:30:00.000 2001:301:01:30:00.000 3600.000 120616264.184 120619864.184 "instrument notify" -2.0 0.0
2001:301:01:30:00.000 2001:301:05:30:00.000 14400.000 120619864.184 120634264.184 "no action" 0.0 40.0
2001:301:05:30:00.000 2001:301:19:30:00.000 50400.000 120634264.184 120684664.184 "instrument notify" -2.0 0.0
2001:301:19:30:00.000 2001:302:07:30:00.000 43200.000 120684664.184 120727864.184 "no action" 0.0 40.0
2001:302:07:30:00.000 2001:302:18:30:00.000 39600.000 120727864.184 120767464.184 "instrument notify" -2.0 0.0
2001:302:18:30:00.000 2001:303:09:30:00.000 54000.000 120767464.184 120821464.184 "no action" 0.0 40.0
2001:303:09:30:00.000 2001:303:18:30:00.000 32400.000 120821464.184 120853864.184 "instrument notify" -2.0 0.0
2001:303:18:30:00.000 2001:304:10:30:00.000 57600.000 120853864.184 120911464.184 "no action" 0.0 40.0
2001:304:10:30:00.000 2001:304:17:30:00.000 25200.000 120911464.184 120936664.184 "instrument notify" -2.0 0.0
2001:304:17:30:00.000 2001:304:18:30:00.000 3600.000 120936664.184 120940264.184 "no action" 0.0 40.0
2001:304:18:30:00.000 2001:304:19:30:00.000 3600.000 120940264.184 120943864.184 "instrument notify" -2.0 0.0
2001:304:19:30:00.000 2001:305:12:30:00.000 61200.000 120943864.184 121005064.184 "no action" 0.0 40.0
2001:305:12:30:00.000 2001:305:16:30:00.000 14400.000 121005064.184 121019464.184 "instrument notify" -2.0 0.0
2001:305:16:30:00.000 2001:306:13:30:00.000 75600.000 121019464.184 121095064.184 "no action" 0.0 40.0
2001:306:13:30:00.000 2001:306:15:30:00.000 7200.000 121095064.184 121102264.184 "instrument notify" -2.0 0.0
2001:306:15:30:00.000 2003:118:03:30:00.000 46785600.000 121102264.184 167887864.184 "no action" 0.0 40.0
2003:118:03:30:00.000 2003:118:05:30:00.000 7200.000 167887864.184 167895064.184 "instrument notify" -2.0 0.0
2003:118:05:30:00.000 2003:119:02:30:00.000 75600.000 167895064.184 167970664.184 "no action" 0.0 40.0
2003:119:02:30:00.000 2003:119:09:30:00.000 25200.000 167970664.184 167995864.184 "instrument notify" -2.0 0.0
2003:119:09:30:00.000 2003:119:10:30:00.000 3600.000 167995864.184 167999464.184 "no action" 0.0 40.0
2003:119:10:30:00.000 2003:119:11:30:00.000 3600.000 167999464.184 168003064.184 "instrument notify" -2.0 0.0
2003:119:11:30:00.000 2003:120:02:30:00.000 54000.000 168003064.184 168057064.184 "no action" 0.0 40.0
2003:120:02:30:00.000 2003:120:12:30:00.000 36000.000 168057064.184 168093064.184 "instrument notify" -2.0 0.0
2003:120:12:30:00.000 2003:121:01:30:00.000 46800.000 168093064.184 168139864.184 "no action" 0.0 40.0
2003:121:01:30:00.000 2003:121:15:30:00.000 50400.000 168139864.184 168190264.184 "instrument notify" -2.0 0.0
2003:121:15:30:00.000 2003:121:20:30:00.000 18000.000 168190264.184 168208264.184 "no action" 0.0 40.0
2003:121:20:30:00.000 2003:121:22:30:00.000 7200.000 168208264.184 168215464.184 "instrument notify" -2.0 0.0
2003:121:22:30:00.000 2003:122:00:30:00.000 7200.000 168215464.184 168222664.184 "no action" 0.0 40.0
2003:122:00:30:00.000 2003:200:07:30:00.000 6764400.000 168222664.184 174987064.184 "instrument notify" -2.0 0.0
2003:200:07:30:00.000 2003:200:13:30:00.000 21600.000 174987064.184 175008664.184 "partial mitigation" -2.9 -2.0
2003:200:13:30:00.000 2003:200:14:30:00.000 3600.000 175008664.184 175012264.184 "instrument notify" -2.0 0.0
2003:200:14:30:00.000 2003:200:15:30:00.000 3600.000 175012264.184 175015864.184 "partial mitigation" -2.9 -2.0
2003:200:15:30:00.000 2003:201:06:30:00.000 54000.000 175015864.184 175069864.184 "instrument notify" -2.0 0.0
2003:201:06:30:00.000 2003:201:17:30:00.000 39600.000 175069864.184 175109464.184 "partial mitigation" -2.9 -2.0
2003:201:17:30:00.000 2003:202:04:30:00.000 39600.000 175109464.184 175149064.184 "instrument notify" -2.0 0.0
2003:202:04:30:00.000 2003:202:20:30:00.000 57600.000 175149064.184 175206664.184 "partial mitigation" -2.9 -2.0
2003:202:20:30:00.000 2003:202:21:30:00.000 3600.000 175206664.184 175210264.184 "instrument notify" -2.0 0.0
2003:202:21:30:00.000 2003:234:05:30:00.000 2707200.000 175210264.184 177917464.184 "partial mitigation" -2.9 -2.0
2003:234:05:30:00.000 2003:234:07:30:00.000 7200.000 177917464.184 177924664.184 "full mitigation" -5.0 -2.9
2003:234:07:30:00.000 2003:235:05:30:00.000 79200.000 177924664.184 178003864.184 "partial mitigation" -2.9 -2.0
2003:235:05:30:00.000 2003:235:10:30:00.000 18000.000 178003864.184 178021864.184 "full mitigation" -5.0 -2.9
